subject_id,time,Alistipes_putredinis,Bacteroides_caccae,Bacteroides_dorei,Bacteroides_fragilis,Bacteroides_ovatus,Bacteroides_stercoris,Bacteroides_uniformis,Bacteroides_vulgatus,Eubacterium_rectale,Faecalibacterium_prausnitzii,Parabacteroides_distasonis,Prevotella_copri,others
M2025,16,0.0173076944375727,0.0191821518069831,0,0,0.00447817803186708,0.00526422780803873,0.0785063060684714,0.0728344036679235,0.00591082850774083,0.409041294143813,0.0203404349663374,0,0.367134480561252
M2025,24,0.0556382421888504,0,0,0,0.00281136806090828,0.00319894370177418,0.354187869865827,0.157905696550881,0.0221785927871595,0.0722777373328004,0.0264503393745322,0,0.305351210137268
M2025,38,0.163748110278525,0,0,0,0.0311161497708133,0.040339550209987,0.046175085417293,0.178739174605155,0.00512509136006703,0.0376145866330071,0.0264541107593252,0,0.470688140965827
M2026,2,0,0,0,0,0,0,0.107768919557111,0.651004612712155,0,0.046615999770976,0,0,0.194610467959758
M2026,4,0,0.00106017660934679,0,0,0.00059830758134886,0.0182000821834573,0.330934463948139,0.485347470356147,0.000771083034821862,0.00914298470096383,0.000266871007508125,0,0.153678560578267
M2026,6,0,0,0,0,8.60290175876323e-05,0.0014653942774898,0.13172022923332,0.711617628626136,0,0.0285433276644212,0,0,0.126567391181045
M2026,0,0,0,0.0022773,0.0386844,0,0,0,0.7185308,0,0,0,0,0.2405075
M2026,24,0,0,0,0.0866856732871761,0,0,0.220138015551581,0.485874316046231,0,0.00997602517171925,0,0,0.197325969943293
M2026,26,0,0,0,0.0524074554998488,0,0,0.164766762991394,0.559604367873859,0,0.016646186853813,0,0,0.206575226781085
M2027,2,0,0.000667929931573092,0,0.0138561662955417,0.000825195533741393,0,0.00967611207323486,0.00439055143192496,0.00170393952973888,0.185250852365833,0.0725936540953114,0.628665706455779,0.082369892287321
M2027,4,0.000479760952062693,0.00604767903025216,0.000674230224918956,0.00347217002795417,0.00148122514800951,0.000193207850545844,0.0213414784773497,0.03254648262375,0.0010336304648625,0.0482645404412518,0.00220664809502631,0.856086430974813,0.0261725156892028
M2027,8,0.000347687787622794,0.00430847285747563,0.00108402298533114,0.00139158493415454,0.00228602635902829,0,0.0285130041590171,0.0289655402423079,0,0.0289276030856249,0.002334906926293,0.876103395427635,0.02573775523551
M2027,0,5.78547379908756e-05,0.00331988384100519,0,0.00749947243970933,0.00177185337861264,0,0.0203135685176992,0.0132768299266327,0.00409197404944457,0.0331912423743085,0.00127571778375564,0.890088276340867,0.0251133266099746
M2027,16,6.49011065482404e-05,0.00644010659199393,0.00833192696906624,0.00131739870531147,0.00495102727096577,0,0.0209345134292161,0.0197635849579445,0.00160502624171547,0.0502233514806411,0.0026702169551276,0.848199332862462,0.0354986134290078
