subject_id,time,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Clostridia,Cyanobacteria,Epsilonproteobacteria,Erysipelotrichi,Flavobacteria,Fusobacteria,Gammaproteobacteria,Unclassified
10,48,0.034459167,0.000024,0.166237423,0.36086676,0.000126338,0.0000956,0,0,0.0000158,0.00000379,0.00000251,0.43638249,0.001786127
10,49,0.038115548,0.0000239,0.184287015,0.334239366,0.000126706,0.009755849,0,0,0.0000156,0.00000347,0.00000299,0.431629004,0.001800593
10,50,0.039598292,0.0000234,0.21472093,0.201186898,0.000125155,0.02927131,0,0,0.0000152,0.00000312,0.00000343,0.513260834,0.001791448
11,41,0.015183474,0.000218964,0.261303413,0.048444375,0.004638099,0.039261068,0,0,0,0,0.000564101,0.580839089,0.049547417
11,42,0.015893037,0.000190679,0.242012236,0.049614957,0.004490764,0.039054845,0,0,0,0,0.000546187,0.605457465,0.042739829
11,43,0.016579165,0.000163358,0.22444458,0.050669685,0.004344085,0.03876286,0,0,0,0,0.000528383,0.628149774,0.03635811
11,44,0.017235774,0.000137012,0.208915671,0.051596658,0.004197953,0.038384989,0,0,0,0,0.000510674,0.648624293,0.030396977
11,45,0.017856603,0.000111661,0.195744055,0.052383897,0.00405229,0.037921416,0,0,0,0,0.00049305,0.666585606,0.024851422
11,46,0.018435265,0.0000873,0.18524884,0.053019481,0.003907053,0.037372685,0,0,0,0,0.000475506,0.681737354,0.019716492
11,47,0.0189653,0.000064,0.177746487,0.053491697,0.003762231,0.036739758,0,0,0,0,0.000458039,0.693785396,0.014987068
11,48,0.019440239,0.0000418,0.173547195,0.053789209,0.003617845,0.036024062,0,0,0,0,0.000440651,0.702441363,0.010657649
11,49,0.01985368,0.0000206,0.172950924,0.053901235,0.00347395,0.035227534,0,0,0,0,0.000423347,0.70742655,0.00672214
11,50,0.020199366,0.000000612,0.176243112,0.053817739,0.003330634,0.034352661,0,0,0,0,0.000406136,0.708476081,0.003173658
12,41,0.083700334,0.000422354,0.083384357,0,0.000387047,0,0,0,0,0,0.000125567,0.830890212,0.001090129
12,42,0.068457826,0.00038483,0.073880151,0,0.000344245,0,0,0,0,0,0.00011211,0.855719602,0.001101236
12,43,0.054473752,0.000350106,0.066494543,0,0.000304394,0,0,0,0,0,0.0000996,0.877161245,0.001116379
12,44,0.041998794,0.000317944,0.061081042,0,0.000267168,0,0,0,0,0,0.0000879,0.895110864,0.001136309
12,45,0.03130611,0.000288101,0.05752837,0,0.000232229,0,0,0,0,0,0.0000769,0.909406336,0.001161956
12,46,0.022674227,0.000259891,0.05567108,0,0.000198883,0.001702765,0,0,0,0,0.0000664,0.918234263,0.001192472
12,47,0.016038685,0.000228053,0.054248403,0,0.000163224,0.026738332,0,0,0,0,0.0000551,0.901326089,0.001202083
12,48,0.01181299,0.000197702,0.054097601,0,0.000129363,0.056326773,0,0,0,0,0.0000444,0.876179642,0.001211538
12,49,0.009765211,0.000168803,0.055017073,0,0.0000973,0.089332378,0,0,0,0,0.0000342,0.844364269,0.001220814
12,50,0.009663615,0.000141325,0.056805037,0,0.0000669,0.124615819,0,0,0,0,0.0000245,0.807452916,0.001229888
13,41,0.003637303,0.0000342,0.074503454,0.000832245,0.0000663,0.000180277,0.00000534,0,0.00000397,0,0,0.920113551,0.000623385
13,42,0.002988939,5.84E-08,0.030917318,0.000968744,0.0000625,0.0000432,0.00000661,0,0.00000315,0,0,0.964389956,0.000619599
13,43,0.009603719,0,0.052063747,0.001035485,0.0000595,0.0000627,0.0000074,0,0.00000231,0,0,0.936562459,0.000602712
13,44,0.155126574,0,0.033022751,0.001084574,0.00006,0.000263199,0.00000808,0,0.00000159,0,0,0.809830729,0.00060253
13,45,0.1718101,0,0.108738672,0.001106508,0.0000626,0.000462451,0.00000856,0,0.000000936,0.00000385,0.000000131,0.71719617,0.000609981
13,46,0.079843911,0,0.055257461,0.001020805,0.000062,0.000281503,0.00000819,0,0.000000322,0.0000155,0.00000131,0.862931299,0.00057768
13,47,0,0.00000789,0,0.001004203,0.0000679,0,0.00000837,0,0,0.0000303,0.00000273,0.998276625,0.000601961
13,48,0,0.0000357,0.002267224,0.000926337,0.0000718,0,0.00000803,0,0,0.0000453,0.0000042,0.996035014,0.000606453
13,49,0.040657485,0.0000732,0.150271738,0.000881282,0.00008,0,0.00000797,0,0,0.0000635,0.00000607,0.807308443,0.000650302
13,50,0.022987106,0.000109247,0.185228046,0.000740441,0.0000804,0,0.00000701,0,0,0.0000748,0.00000744,0.790124512,0.000637483
15,41,0,0.0000115,0.126692433,0.000216361,0.000078,0.254603683,0.0000461,0.000000485,0,0.0000461,0.0000577,0.615400069,0.002847579
15,42,0,0.0000118,0.151786686,0.000203625,0.0000765,0.249554315,0.000047,0.00000156,0,0.000047,0.0000588,0.595418447,0.002794182
15,43,0,0.0000119,0.168496561,0.000190963,0.0000749,0.250641013,0.0000477,0.00000271,0,0.0000477,0.0000597,0.577680573,0.002746233
15,44,0,0.000012,0.177792687,0.000178285,0.000073,0.25707691,0.0000482,0.00000395,0,0.0000482,0.0000602,0.562003509,0.002703106
15,45,0,0.0000121,0.180562442,0.000165507,0.0000708,0.268127097,0.0000483,0.00000529,0,0.0000483,0.0000604,0.548235532,0.002664253
15,46,0,0.000012,0.177634784,0.000152557,0.0000684,0.283089521,0.0000481,0.00000673,0,0.0000481,0.0000601,0.536250422,0.002629191
15,47,0,0.0000119,0.169800897,0.000139366,0.0000656,0.301279044,0.0000476,0.00000828,0,0.0000476,0.0000595,0.525942767,0.002597485
15,48,0,0.0000117,0.157831486,0.000125876,0.0000624,0.322014126,0.0000467,0.00000994,0,0.0000467,0.0000584,0.517223998,0.002568741
15,49,0,0.0000113,0.142491257,0.000112032,0.0000589,0.344605755,0.0000454,0.0000117,0,0.0000454,0.0000567,0.510018988,0.002542597
15,50,0,0.0000109,0.124550914,0.0000978,0.0000548,0.368348472,0.0000436,0.0000136,0,0.0000436,0.0000545,0.504263027,0.002518713
16,41,0.009464422,0,0.150072479,0.000560687,0.005310443,0.054860851,0.00049101,0.000382451,0,0.002543871,0.000301682,0.774991737,0.000529358
16,42,0.003846122,0,0.153577855,0.000505533,0.0047211,0.017145187,0.000428063,0.000340104,0,0.002228803,0.000281763,0.81591487,0.000582535
16,43,0,0,0.153667567,0.000451835,0.004150635,0,0.000367727,0.00029944,0,0.001926124,0.000261556,0.837863132,0.000644258
16,44,0,0.002928392,0.15088915,0.00039938,0.003598075,0,0.000310018,0.000260351,0,0.001635778,0.000240833,0.838718558,0.000709448
16,45,0,0.005986274,0.148855287,0.000356595,0.003138921,0,0.000261368,0.000228279,0,0.001391815,0.000224761,0.83850435,0.000790983
16,46,0,0.008352659,0.147546631,0.000321131,0.002748673,0,0.000219241,0.00020148,0,0.001181438,0.000212387,0.838107851,0.000889269
16,47,0,0.009964474,0.143859603,0.000285129,0.002358256,0.020413923,0.000177884,0.000174915,0,0.000974026,0.000198764,0.820430777,0.000984364
16,48,0,0.010983193,0.139659503,0.000252277,0.001999284,0.048201208,0.00013982,0.000150888,0,0.000783162,0.000186335,0.796420392,0.001084119
16,49,0.002669296,0.011455047,0.134681649,0.000221546,0.00166281,0.082071964,0.000104304,0.000128736,0,0.000604886,0.000174455,0.764937159,0.001183845
16,50,0.00665056,0.011461761,0.129228146,0.000193059,0.001349416,0.120931043,0.0000713,0.000108502,0,0.000439201,0.000163273,0.728049604,0.001282796
17,41,0.000737672,0.00000495,0,0.611078864,0.0000623,0.003866743,0,0,0,0.000017,0,0.383946336,0.000286094
17,42,0.000885564,0.00000941,0.127829436,0.264378109,0.000181356,0.005421404,0,0,0,0.0000193,0,0.600938211,0.000337182
17,43,0.000890257,0.0000135,0,0.776864489,0.000284003,0.006378426,0,0,0,0.0000185,0,0.215207773,0.000343024
17,44,0.00105063,0.0000208,0.013931635,0.799779282,0.000448002,0.008878248,0,0,0,0.000021,0,0.175452895,0.000417541
17,45,0.001141629,0.0000278,0.218528268,0.340710799,0.00060297,0.011532301,0,0,0,0.0000219,0.0000294,0.426930455,0.000474529
17,46,0.001124743,0.0000322,0.196642145,0.370828167,0.000704912,0.013862397,0,0,0,0.0000208,0.000057,0.416232241,0.000495388
17,47,0.001037408,0.0000339,0.074742368,0.601726202,0.000753456,0.016086224,0,0,0,0.0000185,0.0000771,0.305032828,0.000492075
